Gladiator,#,"De
Ridley Scott",#,"2h 35min
|
Action,
Aventure,
Historique",#,"Avec
Russell Crowe,
Joaquin Phoenix,
Connie Nielsen",#,"4,3",#,"4,5",#,,#,"Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du ...",//
Le Seigneur des anneaux : la communauté de l'anneau,#,"De
Peter Jackson",#,"2h 58min
|
Aventure,
Fantastique",#,"Avec
Elijah Wood,
Sean Astin,
Ian McKellen",#,"3,7",#,"4,5",#,,#,"Frodon le Hobbit hérite de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu. Commence alors un vaste périple visant à la destruction de l'objet.",//
Django Unchained,#,"De
Quentin Tarantino",#,"2h 44min
|
Western",#,"Avec
Jamie Foxx,
Christoph Waltz,
Leonardo DiCaprio",#,"4,6",#,"4,5",#,,#,"Un chasseur de primes et un esclave noir s'associent pour retrouver la femme de ce dernier, retenue en esclavage par le propriétaire d'une plantation.",//
Le Seigneur des anneaux : les deux tours,#,"De
Peter Jackson",#,"2h 59min
|
Aventure,
Fantastique",#,"Avec
Elijah Wood,
Sean Astin,
Viggo Mortensen",#,"4,0",#,"4,5",#,,#,"Frodon Sacquet, le Hobbit, doit braver de terribles dangers pour tenter de détruire l'Anneau Unique, convoité par Sauron, le Seigneur des ténèbres. De leur côté, Gimli, Legolas et Aragorn doivent sauver Pippin et Merry, capturés par les Orques...",//
Seven,#,"De
David Fincher",#,"2h 10min
|
Policier,
Drame,
Thriller",#,"Avec
Brad Pitt,
Morgan Freeman,
Gwyneth Paltrow",#,"3,6",#,"4,5",#,,#,John Doe a decidé de nettoyer la societé des maux qui la rongent en commettant sept meurtres bases sur les sept pechés capitaux.,//
Gran Torino,#,"De
Clint Eastwood",#,"1h 56min
|
Drame",#,"Avec
Clint Eastwood,
Bee Vang,
Ahney Her",#,"4,7",#,"4,5",#,,#,"Walt Kowalski est un ancien de la guerre de Corée, un homme inflexible, amer et pétri de préjugés surannés. Hormis sa chienne Daisy, il ne fait confiance qu'à son M-1, toujours propre, toujours prêt à l'usage...",//
Star Wars : Episode V - L'Empire contre-attaque,#,"De
Irvin Kershner",#,"2h 04min
|
Aventure,
Science Fiction",#,"Avec
Mark Hamill,
Harrison Ford,
Carrie Fisher",#,"5,0",#,"4,5",#,à partir de 8 ans,#,"Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales...",//
Le Dictateur,#,"De
Charles Chaplin",#,"2h 05min
|
Comédie",#,"Avec
Charles Chaplin,
Jack Oakie,
Paulette Goddard",#,"5,0",#,"4,5",#,à partir de 10 ans,#,"Dans le ghetto juif vit un petit barbier qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l’extermination du peuple juif. Au cours d’une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d’Hynkel...",//
Les Affranchis,#,"De
Martin Scorsese",#,"2h 25min
|
Policier,
Drame",#,"Avec
Ray Liotta,
Robert De Niro,
Joe Pesci",#,"5,0",#,"4,5",#,,#,"Depuis sa plus tendre enfance, Henry Hill, né d'un père irlandais et d'une mère sicilienne, veut devenir gangster et appartenir à la Mafia. Adolescent dans les années cinquante, il commence par travailler pour le compte de Paul Cicero...",//
Parasite,#,"De
Bong Joon Ho",#,"2h 12min
|
Drame,
Thriller",#,"Avec
Song Kang-Ho,
Woo-sik Choi,
Park So-Dam",#,"4,8",#,"4,5",#,,#,"Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable...",//
Fight Club,#,"De
David Fincher",#,"2h 19min
|
Drame,
Thriller",#,"Avec
Brad Pitt,
Edward Norton,
Helena Bonham Carter",#,"2,7",#,"4,5",#,,#,"Le narrateur, vit seul, travaille seul, dort seul, comme beaucoup d'autres personnes seules qui connaissent la misère morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin dirigé par Tyler Durden, anarchiste entre gourou et philosophe.",//
Your Name,#,"De
Makoto Shinkai",#,"1h 50min
|
Animation,
Fantastique",#,"Avec
Yoann Borg,
Ryûnosuke Kamiki,
Alice Orsat",#,"4,0",#,"4,5",#,à partir de 10 ans,#,"Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis.",//
"Le Parrain, 2e partie",#,"De
Francis Ford Coppola",#,"3h 20min
|
Policier,
Drame",#,"Avec
Al Pacino,
Robert De Niro,
Diane Keaton",#,"4,7",#,"4,5",#,,#,"Depuis la mort de Don Vito Corleone, son fils Michael règne sur la famille. Amené à négocier avec la mafia juive, il perd le soutien de son lieutenant Frankie Pentageli. Echappant de justesse à un attentat, Michael tente de retrouver le coupable...",//
Coco,#,"De
Lee Unkrich,
Adrian Molina",#,"1h 45min
|
Animation,
Famille,
Fantastique",#,"Avec
Andrea Santamaria,
Anthony Gonzalez (VIII),
Benjamin Bratt",#,"4,1",#,"4,5",#,à partir de 8 ans,#,"Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz.",//
Inception,#,"De
Christopher Nolan",#,"2h 28min
|
Science Fiction,
Thriller",#,"Avec
Leonardo DiCaprio,
Marion Cotillard,
Elliot Page",#,"4,1",#,"4,5",#,,#,"Au lieu de subtiliser un rêve, un voleur expérimenté et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait ...",//
Retour vers le futur,#,"De
Robert Zemeckis",#,"1h 56min
|
Aventure,
Comédie,
Science Fiction",#,"Avec
Michael J. Fox,
Christopher Lloyd,
Lea Thompson",#,"3,6",#,"4,5",#,à partir de 8 ans,#,"Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.",//
Green Book : Sur les routes du sud,#,"De
Peter Farrelly",#,"2h 10min
|
Biopic,
Drame",#,"Avec
Viggo Mortensen,
Mahershala Ali,
Linda Cardellini",#,"4,0",#,"4,5",#,,#,"En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts.",//
La Vie est belle,#,"De
Roberto Benigni",#,"1h 57min
|
Comédie,
Comédie dramatique,
Drame",#,"Avec
Roberto Benigni,
Horst Buchholz,
Marisa Paredes",#,"3,7",#,"4,4",#,,#,"En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les ...",//
Les Temps modernes,#,"De
Charles Chaplin",#,"1h 27min
|
Comédie,
Comédie dramatique,
Drame",#,"Avec
Charles Chaplin,
Paulette Goddard,
Henry Bergman",#,"4,6",#,"4,4",#,à partir de 8 ans,#,"Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…",//
Usual Suspects,#,"De
Bryan Singer",#,"1h 46min
|
Policier,
Thriller",#,"Avec
Chazz Palminteri,
Kevin Spacey,
Gabriel Byrne",#,"4,6",#,"4,4",#,,#,"Suite à une mystérieuse dénonciation, cinq criminels se retrouvent en garde à vue. Plus tard, engagés sur un coup par le génie du crime Keyser Söze, les cinq hommes sont pris au piège d’une diabolique machination…",//
Le Kid,#,"De
Charles Chaplin",#,"0h 52min
|
Comédie",#,"Avec
Charles Chaplin,
Jackie Coogan,
Edna Purviance",#,"4,0",#,"4,4",#,à partir de 8 ans,#,"Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent...",//
Le Tombeau des lucioles,#,"De
Isao Takahata",#,"1h 30min
|
Animation,
Drame,
Guerre",#,"Avec
J. Robert Spencer,
Ayano Shiraishi,
Veronica Taylor",#,"4,0",#,"4,4",#,,#,"Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de ...",//
Spider-Man : Across The Spider-Verse,#,"De
Joaquim Dos Santos,
Kemp Powers,
Justin Thompson",#,"2h 21min
|
Action,
Aventure,
Animation",#,"Avec
Stéphane Bak,
Shameik Moore,
Shirine Boutella",#,"4,1",#,"4,4",#,à partir de 8 ans,#,"Après avoir retrouvé Gwen Stacy, Spider-Man, le sympathique héros originaire de Brooklyn, est catapulté à travers le Multivers, où il rencontre une équipe de Spider-Héros chargée d'en protéger l'existence.",//
Whiplash,#,"De
Damien Chazelle",#,"1h 47min
|
Drame,
Musical",#,"Avec
Miles Teller,
J.K. Simmons,
Paul Reiser",#,"4,1",#,"4,4",#,,#,"Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement...",//
Le Silence des agneaux,#,"De
Jonathan Demme",#,"1h 58min
|
Policier,
Drame,
Thriller",#,"Avec
Anthony Hopkins,
Jodie Foster,
Scott Glenn",#,"4,8",#,"4,4",#,,#,"Clarice Starling, jeune stagiaire du FBI, est désignée pour enquêter sur une série de meurtres épouvantables commis dans le Middle West par un tueur de femmes psychopathe connu sous le nom de Buffalo Bill.",//
